Time(dataType: Time)	Temperature(unit: K, dataType: Double)	Humidity(unit: %rF, dataType: Double)
1352978368922	297.42	23.43
1352978370950	297.43	23.435
1352978372911	297.43	23.415
1352978374911	297.43	23.435
1352978376940	297.41	23.41
1352978378908	297.42	23.41
1352978380909	297.42	23.41
1352978382941	297.43	23.415
1352978384906	297.43	23.415
1352978386888	297.41	23.39
1352978388897	297.41	23.41
1352978390880	297.42	23.43
1352978392879	297.42	23.39
1352978394890	297.42	23.41
1352978396842	297.43	23.415
1352978398875	297.43	23.415
1352978400870	297.42	23.41
1352978402837	297.42	23.43
1352978404814	297.42	23.43
1352978406859	297.42	23.43
1352978408836	297.43	23.435
1352978410818	297.42	23.45
1352978412860	297.42	23.43
1352978414810	297.42	23.43
1352978416809	297.43	23.415
1352978418823	297.43	23.415
1352978420807	297.43	23.415
1352978422803	297.43	23.415
1352978424819	297.43	23.415
1352978426782	297.42	23.43
1352978428790	297.42	23.41
1352978430822	297.42	23.41
1352978432774	297.42	23.41
1352978434805	297.42	23.43
1352978436805	297.42	23.43
1352978438771	297.42	23.43
1352978440770	297.42	23.41
1352978442793	297.42	23.43
1352978444772	297.41	23.43
1352978446772	297.42	23.43
1352978448788	297.42	23.41
1352978450770	297.42	23.41
1352978452771	297.41	23.43
1352978454787	297.42	23.39
1352978456752	297.41	23.41
1352978458751	297.41	23.41
1352978460787	297.41	23.41
1352978462747	297.41	23.41
1352978464735	297.41	23.41
1352978466728	297.41	23.41
1352978468710	297.41	23.41
1352978470703	297.41	23.43
1352978472734	297.41	23.43
1352978474714	297.41	23.41
1352978476698	297.41	23.41
1352978478717	297.41	23.41
1352978480683	297.41	23.41
1352978482696	297.41	23.41
1352978484704	297.41	23.41
1352978486672	297.41	23.41
1352978488663	297.41	23.41
1352978490677	297.41	23.39
1352978492649	297.41	23.41
1352978494643	297.41	23.41
1352978496673	297.41	23.43
1352978498651	297.41	23.39
1352978500608	297.4	23.43
1352978502600	297.4	23.43
1352978504598	297.41	23.39
1352978506580	297.41	23.39
1352978508627	297.41	23.41
1352978510578	297.4	23.39
1352978512561	297.4	23.39
1352978514592	297.4	23.41
1352978516544	297.4	23.41
1352978518558	297.41	23.41
1352978520584	297.41	23.41
1352978522532	297.41	23.43
1352978524531	297.4	23.41
1352978526559	297.4	23.41
1352978528553	297.39	23.41
1352978530532	297.39	23.41
1352978532547	297.4	23.41
1352978534529	297.39	23.41
1352978536528	297.39	23.41
1352978538561	297.4	23.43
1352978540553	297.39	23.43
1352978542510	297.39	23.43
1352978544523	297.4	23.41
1352978546526	297.39	23.43
1352978548526	297.39	23.41
1352978550515	297.39	23.41
1352978552497	297.39	23.43
1352978554462	297.39	23.43
1352978556503	297.39	23.41
1352978558487	297.4	23.43
1352978560454	297.4	23.43
1352978562528	297.39	23.43
1352978564479	297.39	23.43
1352978566493	297.4	23.43
1352978568474	297.4	23.43
1352978570473	297.39	23.43
1352978572472	297.4	23.41
1352978574484	297.4	23.41
1352978576432	297.4	23.45
1352978578428	297.4	23.45
1352978580424	297.4	23.45
1352978582392	297.4	23.43
1352978584417	297.41	23.45
1352978586428	297.41	23.45
1352978588407	297.41	23.43
1352978590386	297.41	23.43
1352978592413	297.4	23.43
1352978594374	297.4	23.43
1352978596352	297.4	23.41
1352978598339	297.41	23.39
1352978600309	297.4	23.41
1352978602308	297.4	23.37
1352978604324	297.4	23.37
1352978606299	297.4	23.41
1352978608277	297.4	23.41
1352978610301	297.41	23.41
1352978612298	297.41	23.41
1352978614298	297.41	23.39
1352978616313	297.41	23.41
1352978618280	297.41	23.41
1352978620280	297.41	23.41
1352978622310	297.41	23.41
1352978624289	297.41	23.41
1352978626255	297.41	23.39
1352978628267	297.41	23.39
1352978630263	297.41	23.39
1352978632252	297.41	23.39
1352978634283	297.41	23.39
1352978636235	297.41	23.39
1352978638235	297.41	23.37
1352978640234	297.41	23.37
1352978642218	297.41	23.41
1352978644219	297.41	23.39
1352978646250	297.41	23.41
1352978648232	297.41	23.41
1352978650232	297.41	23.37
1352978652240	297.41	23.39
1352978654224	297.41	23.39
1352978656222	297.41	23.37
1352978658221	297.41	23.37
1352978660205	297.41	23.39
1352978662189	297.42	23.39
1352978664220	297.41	23.41
1352978666191	297.41	23.39
1352978668202	297.4	23.41
1352978670213	297.41	23.41
1352978672195	297.41	23.39
1352978674181	297.41	23.41
1352978676166	297.41	23.39
1352978678114	297.41	23.41
1352978680104	297.41	23.39
1352978682115	297.41	23.39
1352978684108	297.41	23.41
1352978686091	297.41	23.41
1352978688138	297.41	23.41
1352978690083	297.41	23.41
1352978692060	297.41	23.41
1352978694081	297.41	23.41
1352978696018	297.4	23.39
1352978697999	297.39	23.41
1352978700036	297.39	23.37
1352978701994	297.39	23.41
1352978703984	297.39	23.39
1352978705998	297.4	23.39
1352978707955	297.4	23.39
